     8.500,       2603,     -9.307,     56.962,      6.446,     -4.738,      0.421,     -1.955,      4.710,          6, FALSE     
     8.500,       2604,      1.872,     47.991,     -0.829,     -9.727,      0.723,     -0.525,      3.140,          8, FALSE     
     9.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     9.000,       2602,    -47.249,    -31.844,     -7.116,     -2.785,     -1.231,     -0.858,      0.785,          7, FALSE     
     9.000,       2603,     -6.084,     54.593,      6.046,     -5.239,      0.322,     -1.974,      4.710,          6, FALSE     
     9.000,       2604,      1.457,     43.128,     -0.609,     -9.859,      0.439,     -0.266,      3.140,          8, FALSE     
     9.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
     9.500,       2602,    -50.806,    -33.236,     -7.391,     -3.061,     -1.244,     -0.838,      0.785,          7, FALSE     
     9.500,       2603,     -3.061,     51.974,      5.622,     -5.691,      0.222,     -1.988,      4.710,          6, FALSE     
     9.500,       2604,      1.153,     38.198,     -0.473,     -9.927,      0.271,     -0.135,      3.140,          8, FALSE     
    10.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    10.000,       2602,    -54.502,    -34.767,     -7.342,     -3.178,     -1.255,     -0.821,      0.785,          7, FALSE     
    10.000,       2603,     -0.250,     49.128,      5.178,     -6.098,      0.118,     -1.997,      4.710,          6, FALSE     
    10.000,       2604,      0.916,     33.235,     -0.388,     -9.961,      0.172,     -0.069,      3.140,          8, FALSE     
    10.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    10.500,       2602,    -58.173,    -36.356,     -7.298,     -3.278,     -1.265,     -0.807,      0.785,          7, FALSE     
    10.500,       2603,      2.340,     46.079,      4.718,     -6.461,      0.010,     -2.000,      4.710,          6, FALSE     
    10.500,       2604,      0.722,     28.254,     -0.332,     -9.979,      0.112,     -0.035,      3.140,          8, FALSE     
    11.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    11.000,       2602,    -61.822,    -37.995,     -7.259,     -3.363,     -1.272,     -0.795,      0.785,          7, FALSE     
    11.000,       2603,      4.699,     42.849,      4.243,     -6.782,     -0.101,     -1.997,      4.710,          6, FALSE     
    11.000,       2604,      0.556,     23.265,     -0.279,     -9.404,      0.106,      1.149,      3.140,          8, FALSE     
    11.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    11.500,       2602,    -65.451,    -39.676,     -7.225,     -3.435,     -1.278,     -0.785,      0.785,          7, FALSE     
    11.500,       2603,      6.820,     39.458,      3.756,     -7.064,     -0.218,     -1.988,      4.710,          6, FALSE     
    11.500,       2604,      0.417,     18.563,     -0.230,     -8.405,      0.098,      1.998,      3.140,          8, FALSE     
    12.000,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    12.000,       2602,    -69.064,    -41.394,     -7.195,     -3.498,     -1.283,     -0.778,      0.785,          7, FALSE     
    12.000,       2603,      8.698,     35.926,      3.255,     -7.308,     -0.341,     -1.971,      4.710,          6, FALSE     
    12.000,       2604,      0.302,     14.360,     -0.192,     -7.406,      0.076,      1.999,      3.140,          8, FALSE     
    12.500,       2601,      0.000,      0.000,      0.000,      0.000,          0,          0,      0.000,          1, FALSE     
    12.500,       2602,    -72.661,    -43.143,     -7.168,     -3.552,     -1.287,     -0.771,      0.785,          7, FALSE     
