76.0,     -40.69,     -30.17
76.5,     -22.50,     -25.63
76.5,     -42.63,     -30.66
77.0,     -24.44,     -26.11
77.0,     -44.56,     -31.14
77.5,     -26.38,     -26.59
77.5,     -46.50,     -31.63
78.0,     -28.32,     -27.08
78.0,     -48.44,     -32.11
78.5,     -30.26,     -27.56
78.5,     -50.38,     -32.60
79.0,     -32.20,     -28.05
79.0,     -52.32,     -33.08
79.5,     -34.14,     -28.53
79.5,     -54.26,     -33.57
80.0,     -36.08,     -29.02
80.0,     -56.20,     -34.05
80.5,     -38.02,     -29.50
80.5,     -58.14,     -34.54
81.0,     -39.96,     -29.99
81.0,     -59.92,     -35.02
81.5,     -41.90,     -30.47
81.5,     -57.96,     -35.43
82.0,     -43.84,     -30.96
82.0,     -56.00,     -35.83
82.5,     -45.78,     -31.44
82.5,     -54.04,     -36.24
83.0,     -47.71,     -31.93
83.0,     -52.09,     -36.65
83.5,     -49.64,     -32.41
83.5,     -50.14,     -37.05
84.0,     -51.54,     -32.89
84.0,     -48.23,     -37.45
84.5,     -53.33,     -33.33
84.5,     -46.42,     -37.83
85.0,     -54.37,     -36.17
85.0,     -34.06,     -40.40
85.5,     -54.81,     -36.08
85.5,     -34.50,     -40.31
86.0,     -54.75,     -36.09
86.0,     -34.44,     -40.32
86.5,     -54.21,     -36.21
86.5,     -33.90,     -40.44
87.0,     -53.22,     -36.41
87.0,     -32.91,     -40.64
87.5,     -51.88,     -36.69
87.5,     -31.57,     -40.92
88.0,     -50.28,     -37.02
88.0,     -29.97,     -41.26
88.5,     -48.50,     -37.40
88.5,     -28.19,     -41.63
89.0,     -46.61,     -37.79
89.0,     -26.30,     -42.02
89.5,     -44.67,     -38.19
89.5,     -24.36,     -42.42
90.0,     -42.71,     -38.60
90.0,     -22.40,     -42.83
90.5,     -40.76,     -39.01
90.5,     -20.45,     -43.24
91.0,     -38.84,     -39.41
91.0,     -18.53,     -43.64
91.5,     -36.93,     -39.81
91.5,     -16.62,     -44.04
92.0,     -35.06,     -40.20
92.0,     -14.75,     -44.43
92.5,     -33.20,     -40.58
92.5,     -12.89,     -44.81
93.0,     -31.36,     -40.97
93.0,     -11.05,     -45.20
93.5,     -29.53,     -41.35
93.5,      -9.22,     -45.58
94.0,     -27.70,     -41.73
94.0,      -7.39,     -45.96
94.5,     -25.87,     -42.11
94.5,      -5.56,     -46.34
95.0,     -24.04,     -42.49
95.0,      -3.73,     -46.72
95.5,     -22.20,     -42.88
95.5,      -1.89,     -47.11
96.0,     -20.34,     -43.26
96.0,      -0.03,     -47.49
96.5,     -18.48,     -43.65
96.5,       1.83,     -47.88
97.0,     -16.61,     -44.04
97.0,       3.70,     -48.27
97.5,     -14.72,     -44.43
97.5,       5.59,     -48.66
98.0,     -12.82,     -44.83
98.0,       7.49,     -49.06
98.5,     -10.91,     -45.23
98.5,       9.40,     -49.46
99.0,      -8.99,     -45.63
99.0,      11.32,     -49.86
99.5,      -7.06,     -46.03
99.5,      13.25,     -50.26
100.0,      -5.13,     -46.43
100.0,      15.18,     -50.66
100.5,      -3.19,     -46.84
100.5,      17.12,     -51.07
101.0,      -1.24,     -47.24
101.0,      19.07,     -51.47
101.5,       0.71,     -47.65
101.5,      21.02,     -51.88
102.0,       2.66,     -48.05
102.0,      22.97,     -52.29
102.5,       4.62,     -48.46
102.5,      24.93,     -52.69
103.0,       6.57,     -48.87
103.0,      26.88,     -53.10
103.5,       8.53,     -49.28
103.5,      28.84,     -53.51
104.0,      10.49,     -49.68
104.0,      30.80,     -53.92
104.5,      12.44,     -50.09
104.5,      32.75,     -54.32
105.0,      14.40,     -50.50
105.0,      34.71,     -54.73
105.5,      16.36,     -50.91
105.5,      36.67,     -55.14
106.0,      18.32,     -51.32
106.0,      38.63,     -55.55
106.5,      20.28,     -51.72
106.5,      40.59,     -55.96
107.0,      22.23,     -52.13
107.0,      42.54,     -56.36
107.5,      24.19,     -52.54
107.5,      44.50,     -56.77
108.0,      26.15,     -52.95
108.0,      46.46,     -57.18
108.5,      28.11,     -53.36
108.5,      48.42,     -57.59
109.0,      30.06,     -53.76
